,image,cat,cow,dog,horse,sheep,bounds_x,bounds_y,bounds_width,bounds_height,L_eye_v,L_eye_x,L_eye_y,R_eye_v,R_eye_x,R_eye_y,L_ear_v,L_ear_x,L_ear_y,R_ear_v,R_ear_x,R_ear_y,Nose_v,Nose_x,Nose_y,Throat_v,Throat_x,Throat_y,Tail_v,Tail_x,Tail_y,withers_v,withers_x,withers_y,L_F_elbow_v,L_F_elbow_x,L_F_elbow_y,R_F_elbow_v,R_F_elbow_x,R_F_elbow_y,L_B_elbow_v,L_B_elbow_x,L_B_elbow_y,R_B_elbow_v,R_B_elbow_x,R_B_elbow_y,L_F_knee_v,L_F_knee_x,L_F_knee_y,R_F_knee_v,R_F_knee_x,R_F_knee_y,L_B_knee_v,L_B_knee_x,L_B_knee_y,R_B_knee_v,R_B_knee_x,R_B_knee_y,L_F_paw_v,L_F_paw_x,L_F_paw_y,R_F_paw_v,R_F_paw_x,R_F_paw_y,L_B_paw_v,L_B_paw_x,L_B_paw_y,R_B_paw_v,R_B_paw_x,R_B_paw_y,nothing,stand,sit,lie,go,run
10,010.jpeg,1,0,0,0,0,0.016666666666666666,0.02112676056338028,0.9733333333333334,0.9084507042253521,1,0.7966666666666666,0.4788732394366197,1,0.7166666666666667,0.352112676056338,1,0.99,0.5316901408450704,1,0.8066666666666666,0.2323943661971831,1,0.7333333333333333,0.4119718309859155,1,0.62,0.5528169014084507,1,0.22666666666666666,0.13028169014084506,0,0.0,0.0,1,0.44,0.6338028169014085,1,0.5,0.2535211267605634,0,0.0,0.0,0,0.0,0.0,1,0.5,0.7359154929577465,1,0.58,0.397887323943662,0,0.0,0.0,0,0.0,0.0,1,0.46,0.8626760563380281,1,0.5266666666666666,0.5528169014084507,0,0.0,0.0,0,0.0,0.0,0,0,0,1,0,0
11,011.jpeg,1,0,0,0,0,0.023333333333333334,0.012195121951219513,0.8466666666666667,0.975609756097561,1,0.6766666666666666,0.516260162601626,1,0.4766666666666667,0.4146341463414634,1,0.8333333333333334,0.32113821138211385,1,0.3433333333333333,0.13414634146341464,1,0.6,0.5609756097560976,1,0.47333333333333333,0.8089430894308943,0,0.0,0.0,0,0.0,0.0,1,0.6433333333333333,0.926829268292683,1,0.17333333333333334,0.8739837398373984,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
12,012.jpeg,1,0,0,0,0,0.043333333333333335,0.02531645569620253,0.94,0.9535864978902954,1,0.7133333333333334,0.4936708860759494,1,0.39666666666666667,0.510548523206751,1,0.81,0.08860759493670886,1,0.29333333333333333,0.1308016877637131,1,0.5733333333333334,0.7763713080168776,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
13,013.jpeg,1,0,0,0,0,0.043333333333333335,0.15,0.9466666666666667,0.8,1,0.39,0.3958333333333333,1,0.2833333333333333,0.425,1,0.38333333333333336,0.23333333333333334,1,0.20666666666666667,0.325,1,0.34,0.45416666666666666,1,0.3466666666666667,0.5416666666666666,1,0.7833333333333333,0.6791666666666667,1,0.48,0.22083333333333333,1,0.41,0.5916666666666667,1,0.13333333333333333,0.6708333333333333,1,0.6066666666666667,0.6666666666666666,0,0.0,0.0,1,0.38333333333333336,0.775,1,0.21333333333333335,0.8,1,0.63,0.8125,0,0.0,0.0,1,0.28,0.8916666666666667,1,0.17666666666666667,0.8708333333333333,1,0.4866666666666667,0.8583333333333333,0,0.0,0.0,0,0,1,0,0,0
14,014.jpeg,1,0,0,0,0,0.03666666666666667,0.03663003663003663,0.9533333333333334,0.945054945054945,1,0.68,0.4065934065934066,1,0.4666666666666667,0.4175824175824176,1,0.8066666666666666,0.13186813186813187,1,0.33,0.14652014652014653,1,0.5666666666666667,0.4542124542124542,1,0.5933333333333334,0.6446886446886447,0,0.0,0.0,0,0.0,0.0,1,0.9066666666666666,0.6410256410256411,1,0.37666666666666665,0.63003663003663,0,0.0,0.0,0,0.0,0.0,1,0.8133333333333334,0.7692307692307693,1,0.3466666666666667,0.7289377289377289,0,0.0,0.0,1,0.24666666666666667,0.5494505494505495,1,0.7866666666666666,0.9010989010989011,1,0.21333333333333335,0.8351648351648352,0,0.0,0.0,1,0.09333333333333334,0.684981684981685,0,0,0,1,0,0
15,015.jpeg,1,0,0,0,0,0.27666666666666667,0.06,0.46,0.78,1,0.5666666666666667,0.24,1,0.45666666666666667,0.22666666666666666,1,0.65,0.16333333333333333,1,0.42,0.12666666666666668,1,0.5033333333333333,0.25333333333333335,1,0.4866666666666667,0.36333333333333334,0,0.0,0.0,0,0.0,0.0,1,0.5933333333333334,0.53,1,0.38,0.5166666666666667,0,0.0,0.0,0,0.0,0.0,1,0.55,0.6933333333333334,1,0.4033333333333333,0.69,0,0.0,0.0,0,0.0,0.0,1,0.5066666666666667,0.81,1,0.38333333333333336,0.7933333333333333,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,0
16,016.jpeg,1,0,0,0,0,0.0033333333333333335,0.06,0.96,0.82,1,0.36333333333333334,0.2,1,0.30333333333333334,0.205,1,0.37,0.08,1,0.2633333333333333,0.095,1,0.34,0.225,1,0.35,0.31,1,0.71,0.51,1,0.45,0.225,1,0.32666666666666666,0.4,1,0.24333333333333335,0.29,1,0.5633333333333334,0.6,0,0.0,0.0,1,0.28,0.47,1,0.19333333333333333,0.36,1,0.6066666666666667,0.76,1,0.47333333333333333,0.72,1,0.15666666666666668,0.57,1,0.03666666666666667,0.425,1,0.5233333333333333,0.845,1,0.38666666666666666,0.77,0,0,0,1,0,0
17,017.jpeg,1,0,0,0,0,0.12333333333333334,0.09,0.47333333333333333,0.89,1,0.5766666666666667,0.305,1,0.53,0.295,1,0.57,0.125,1,0.5033333333333333,0.12,1,0.57,0.36,1,0.48333333333333334,0.42,1,0.2866666666666667,0.49,1,0.26,0.25,0,0.0,0.0,1,0.4166666666666667,0.62,1,0.17333333333333334,0.625,1,0.3466666666666667,0.685,0,0.0,0.0,1,0.3933333333333333,0.79,1,0.2,0.87,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0
18,018.jpeg,1,0,0,0,0,0.043333333333333335,0.20833333333333334,0.4866666666666667,0.6,1,0.44666666666666666,0.425,1,0.36,0.4166666666666667,1,0.5033333333333333,0.2625,1,0.30666666666666664,0.2708333333333333,1,0.4,0.45,1,0.4,0.5166666666666667,1,0.2966666666666667,0.4166666666666667,0,0.0,0.0,1,0.47,0.5416666666666666,1,0.33,0.5541666666666667,0,0.0,0.0,0,0.0,0.0,1,0.4533333333333333,0.65,1,0.38,0.6458333333333334,0,0.0,0.0,0,0.0,0.0,1,0.4533333333333333,0.7458333333333333,1,0.37333333333333335,0.7458333333333333,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,0
19,019.jpeg,1,0,0,0,0,0.06333333333333334,0.07106598984771574,0.88,0.7817258883248731,1,0.2,0.3248730964467005,1,0.13,0.3197969543147208,1,0.24,0.18781725888324874,1,0.10333333333333333,0.17258883248730963,1,0.16,0.3553299492385787,1,0.20666666666666667,0.4416243654822335,1,0.7366666666666667,0.16243654822335024,1,0.32,0.16751269035532995,1,0.34,0.5228426395939086,1,0.23,0.5685279187817259,1,0.6733333333333333,0.4213197969543147,0,0.0,0.0,1,0.3566666666666667,0.6852791878172588,1,0.26,0.6903553299492385,1,0.7433333333333333,0.5736040609137056,1,0.62,0.6091370558375635,1,0.3466666666666667,0.817258883248731,1,0.24333333333333335,0.817258883248731,1,0.7133333333333334,0.7258883248730964,1,0.5833333333333334,0.7715736040609137,0,0,0,0,1,0
20,020.jpeg,1,0,0,0,0,0.0,0.029239766081871343,0.97,0.935672514619883,1,0.8366666666666667,0.38596491228070173,1,0.6966666666666667,0.38596491228070173,1,0.8966666666666666,0.11695906432748537,1,0.6266666666666667,0.11695906432748537,1,0.7733333333333333,0.5087719298245614,1,0.7633333333333333,0.7076023391812866,1,0.29,0.6081871345029239,1,0.5266666666666666,0.5029239766081871,1,0.8533333333333334,0.6900584795321637,1,0.5266666666666666,0.6198830409356725,0,0.0,0.0,1,0.3466666666666667,0.7485380116959064,1,0.8733333333333333,0.8538011695906432,1,0.48333333333333334,0.7368421052631579,0,0.0,0.0,0,0.0,0.0,1,0.8233333333333334,0.9415204678362573,1,0.54,0.8654970760233918,0,0.0,0.0,1,0.23,0.8771929824561403,0,0,0,1,0,0
21,021.jpeg,1,0,0,0,0,0.016666666666666666,0.21333333333333335,0.9533333333333334,0.7288888888888889,1,0.83,0.41333333333333333,1,0.7833333333333333,0.4488888888888889,1,0.8266666666666667,0.25333333333333335,1,0.7333333333333333,0.32,1,0.8233333333333334,0.48444444444444446,1,0.7566666666666667,0.5244444444444445,1,0.19666666666666666,0.4177777777777778,1,0.5466666666666666,0.38222222222222224,0,0.0,0.0,1,0.65,0.56,1,0.31333333333333335,0.6311111111111111,1,0.24,0.56,1,0.7933333333333333,0.6088888888888889,1,0.6766666666666666,0.68,1,0.20333333333333334,0.7066666666666667,1,0.14666666666666667,0.6133333333333333,1,0.9133333333333333,0.6977777777777778,1,0.83,0.7955555555555556,1,0.17,0.8888888888888888,1,0.043333333333333335,0.7733333333333333,0,0,0,1,0,0
22,022.jpeg,1,0,0,0,0,0.023333333333333334,0.02336448598130841,0.8066666666666666,0.9439252336448598,1,0.65,0.46261682242990654,1,0.43,0.48598130841121495,1,0.71,0.09345794392523364,1,0.29333333333333333,0.10747663551401869,1,0.55,0.6542056074766355,1,0.5666666666666667,0.897196261682243,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
23,023.jpeg,1,0,0,0,0,0.21,0.01,0.6066666666666667,0.97,1,0.6166666666666667,0.39,1,0.4666666666666667,0.39,1,0.7133333333333334,0.12,1,0.39666666666666667,0.14,1,0.53,0.485,1,0.5366666666666666,0.745,0,0.0,0.0,0,0.0,0.0,1,0.72,0.89,1,0.2833333333333333,0.865,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
24,024.jpeg,1,0,0,0,0,0.043333333333333335,0.2978723404255319,0.9066666666666666,0.5957446808510638,1,0.2633333333333333,0.5425531914893617,1,0.21,0.7021276595744681,1,0.21666666666666667,0.3829787234042553,1,0.11333333333333333,0.675531914893617,1,0.27,0.675531914893617,1,0.4033333333333333,0.6648936170212766,1,0.53,0.43617021276595747,0,0.0,0.0,1,0.5133333333333333,0.5372340425531915,1,0.5133333333333333,0.7340425531914894,0,0.0,0.0,0,0.0,0.0,1,0.61,0.6117021276595744,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.6433333333333333,0.7872340425531915,1,0.8533333333333334,0.7606382978723404,1,0.9133333333333333,0.6968085106382979,0,0.0,0.0,0,0,0,1,0,0
25,025.jpeg,1,0,0,0,0,0.02711864406779661,0.04666666666666667,0.9355932203389831,0.8866666666666667,1,0.688135593220339,0.12666666666666668,1,0.6338983050847458,0.14,1,0.6474576271186441,0.07333333333333333,1,0.535593220338983,0.10666666666666667,1,0.7016949152542373,0.15333333333333332,1,0.688135593220339,0.25,1,0.29491525423728815,0.5933333333333334,1,0.488135593220339,0.3233333333333333,0,0.0,0.0,1,0.576271186440678,0.49333333333333335,0,0.0,0.0,1,0.4,0.6666666666666666,1,0.7966101694915254,0.4766666666666667,1,0.6610169491525424,0.57,0,0.0,0.0,1,0.3728813559322034,0.79,1,0.9016949152542373,0.3566666666666667,1,0.8033898305084746,0.5933333333333334,0,0.0,0.0,1,0.4,0.9066666666666666,0,0,0,0,0,1
26,026.jpeg,1,0,0,0,0,0.09,0.09,0.41333333333333333,0.85,1,0.4,0.3,1,0.3433333333333333,0.3,1,0.4166666666666667,0.18,1,0.30333333333333334,0.18,1,0.38,0.34,1,0.38666666666666666,0.415,1,0.12,0.795,1,0.21666666666666667,0.445,1,0.42333333333333334,0.585,1,0.3233333333333333,0.59,0,0.0,0.0,0,0.0,0.0,1,0.42333333333333334,0.75,1,0.35333333333333333,0.755,0,0.0,0.0,0,0.0,0.0,1,0.44333333333333336,0.86,1,0.38333333333333336,0.875,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,0
27,027.jpeg,1,0,0,0,0,0.016666666666666666,0.0,0.8733333333333333,0.9864253393665159,1,0.6566666666666666,0.5067873303167421,1,0.4633333333333333,0.49321266968325794,1,0.7966666666666666,0.1085972850678733,1,0.35,0.09954751131221719,1,0.5933333333333334,0.665158371040724,1,0.5566666666666666,0.9095022624434389,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
28,028.jpeg,1,0,0,0,0,0.01,0.004484304932735426,0.98,0.9955156950672646,1,0.6366666666666667,0.3811659192825112,1,0.43666666666666665,0.4080717488789238,1,0.7,0.04932735426008968,1,0.3433333333333333,0.06726457399103139,1,0.56,0.6143497757847534,1,0.63,0.7668161434977578,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.9266666666666666,0.8161434977578476,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,1,0,0
29,029.jpeg,1,0,0,0,0,0.33,0.012195121951219513,0.3466666666666667,0.9634146341463414,1,0.4633333333333333,0.23780487804878048,1,0.4033333333333333,0.23170731707317074,1,0.4866666666666667,0.07317073170731707,1,0.36,0.09146341463414634,1,0.42,0.29878048780487804,1,0.4533333333333333,0.34146341463414637,1,0.63,0.14634146341463414,0,0.0,0.0,1,0.58,0.5304878048780488,1,0.4633333333333333,0.573170731707317,0,0.0,0.0,0,0.0,0.0,1,0.5966666666666667,0.7073170731707317,1,0.49,0.7682926829268293,0,0.0,0.0,0,0.0,0.0,1,0.5833333333333334,0.8841463414634146,1,0.47,0.926829268292683,0,0.0,0.0,1,0.5566666666666666,0.823170731707317,0,0,0,0,1,0
30,030.jpeg,1,0,0,0,0,0.03666666666666667,0.06589147286821706,0.9333333333333333,0.8682170542635659,1,0.43333333333333335,0.41472868217054265,1,0.31,0.3992248062015504,1,0.49,0.23255813953488372,1,0.2,0.11627906976744186,1,0.39666666666666667,0.47674418604651164,1,0.2866666666666667,0.5930232558139535,1,0.93,0.6782945736434108,1,0.5366666666666666,0.3372093023255814,1,0.44,0.627906976744186,1,0.10333333333333333,0.7015503875968992,1,0.7533333333333333,0.6317829457364341,0,0.0,0.0,1,0.4766666666666667,0.8023255813953488,1,0.17333333333333334,0.7945736434108527,0,0.0,0.0,0,0.0,0.0,1,0.23666666666666666,0.8682170542635659,1,0.12666666666666668,0.8643410852713178,1,0.5533333333333333,0.8255813953488372,0,0.0,0.0,0,0,0,1,0,0
31,031.jpeg,1,0,0,0,0,0.16333333333333333,0.1658291457286432,0.5066666666666667,0.7839195979899497,1,0.6066666666666667,0.32160804020100503,1,0.54,0.3316582914572864,1,0.6433333333333333,0.21608040201005024,1,0.5166666666666667,0.24120603015075376,1,0.58,0.35175879396984927,1,0.57,0.4623115577889447,1,0.23333333333333334,0.7185929648241206,1,0.4166666666666667,0.4321608040201005,1,0.5633333333333334,0.7236180904522613,1,0.48333333333333334,0.7035175879396985,0,0.0,0.0,1,0.35,0.7587939698492462,1,0.5466666666666666,0.8140703517587939,1,0.5,0.8140703517587939,0,0.0,0.0,1,0.2866666666666667,0.8793969849246231,1,0.5666666666666667,0.8894472361809045,1,0.5333333333333333,0.8844221105527639,1,0.45666666666666667,0.8743718592964824,1,0.37333333333333335,0.8994974874371859,0,0,1,0,0,0
32,032.jpeg,1,0,0,0,0,0.15,0.008888888888888889,0.7266666666666667,0.9688888888888889,1,0.61,0.49333333333333335,1,0.37,0.48,1,0.7433333333333333,0.22666666666666666,1,0.3233333333333333,0.1688888888888889,1,0.4866666666666667,0.6666666666666666,1,0.4533333333333333,0.9511111111111111,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,1,0,0
33,033.jpeg,1,0,0,0,0,0.06333333333333334,0.06222222222222222,0.5733333333333334,0.9244444444444444,1,0.5466666666666666,0.3244444444444444,1,0.43666666666666665,0.3466666666666667,1,0.59,0.1288888888888889,1,0.3466666666666667,0.20444444444444446,1,0.49666666666666665,0.4266666666666667,1,0.5466666666666666,0.5066666666666667,1,0.08,0.5822222222222222,1,0.36666666666666664,0.47555555555555556,0,0.0,0.0,1,0.43333333333333335,0.7155555555555555,0,0.0,0.0,1,0.14333333333333334,0.7244444444444444,0,0.0,0.0,1,0.48,0.8355555555555556,0,0.0,0.0,1,0.13666666666666666,0.7866666666666666,1,0.5266666666666666,0.7688888888888888,1,0.5366666666666666,0.9555555555555556,0,0.0,0.0,1,0.21333333333333335,0.8711111111111111,0,1,0,0,0,0
34,034.jpeg,1,0,0,0,0,0.25,0.023809523809523808,0.5066666666666667,0.9523809523809523,1,0.6633333333333333,0.18253968253968253,1,0.6066666666666667,0.19047619047619047,1,0.6633333333333333,0.07142857142857142,1,0.5,0.09523809523809523,1,0.6533333333333333,0.23809523809523808,1,0.6333333333333333,0.4603174603174603,1,0.30666666666666664,0.6587301587301587,1,0.4766666666666667,0.4523809523809524,1,0.6666666666666666,0.6904761904761905,1,0.5633333333333334,0.7063492063492064,0,0.0,0.0,1,0.31,0.8809523809523809,1,0.7066666666666667,0.9444444444444444,1,0.5566666666666666,0.9206349206349206,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0
35,035.jpeg,1,0,0,0,0,0.05,0.0,0.76,0.9940828402366864,1,0.64,0.5207100591715976,1,0.45666666666666667,0.40236686390532544,1,0.7366666666666667,0.17751479289940827,1,0.39666666666666667,0.03550295857988166,1,0.5666666666666667,0.6568047337278107,1,0.44333333333333336,0.9171597633136095,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
