,image,dog,bounds_x_before,bounds_x,bounds_y_before,bounds_y,bounds_width_before,bounds_width,bounds_height_before,bounds_height,L_eye_v,L_eye_x_before,L_eye_x,L_eye_y_before,L_eye_y,R_eye_v,R_eye_x_before,R_eye_x,R_eye_y_before,R_eye_y,L_ear_v,L_ear_x_before,L_ear_x,L_ear_y_before,L_ear_y,R_ear_v,R_ear_x_before,R_ear_x,R_ear_y_before,R_ear_y,Nose_v,Nose_x_before,Nose_x,Nose_y_before,Nose_y,Throat_v,Throat_x_before,Throat_x,Throat_y_before,Throat_y,Tail_v,Tail_x_before,Tail_x,Tail_y_before,Tail_y,withers_v,withers_x_before,withers_x,withers_y_before,withers_y,L_F_elbow_v,L_F_elbow_x_before,L_F_elbow_x,L_F_elbow_y_before,L_F_elbow_y,R_F_elbow_v,R_F_elbow_x_before,R_F_elbow_x,R_F_elbow_y_before,R_F_elbow_y,L_B_elbow_v,L_B_elbow_x_before,L_B_elbow_x,L_B_elbow_y_before,L_B_elbow_y,R_B_elbow_v,R_B_elbow_x_before,R_B_elbow_x,R_B_elbow_y_before,R_B_elbow_y,L_F_knee_v,L_F_knee_x_before,L_F_knee_x,L_F_knee_y_before,L_F_knee_y,R_F_knee_v,R_F_knee_x_before,R_F_knee_x,R_F_knee_y_before,R_F_knee_y,L_B_knee_v,L_B_knee_x_before,L_B_knee_x,L_B_knee_y_before,L_B_knee_y,R_B_knee_v,R_B_knee_x_before,R_B_knee_x,R_B_knee_y_before,R_B_knee_y,L_F_paw_v,L_F_paw_x_before,L_F_paw_x,L_F_paw_y_before,L_F_paw_y,R_F_paw_v,R_F_paw_x_before,R_F_paw_x,R_F_paw_y_before,R_F_paw_y,L_B_paw_v,L_B_paw_x_before,L_B_paw_x,L_B_paw_y_before,L_B_paw_y,R_B_paw_v,R_B_paw_x_before,R_B_paw_x,R_B_paw_y_before,R_B_paw_y,height,width
389,389.jpeg,1,0.07,21,0.017777778,4,0.88,264,0.933333333,210,1,0.646666667,194,0.568888889,128,1,0.436666667,131,0.457777778,103,1,0.873333333,262,0.493333333,111,1,0.353333333,106,0.262222222,59,1,0.456666667,137,0.742222222,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,300
390,390.jpeg,1,0.088122605,23,0.18,54,0.697318008,182,0.686666667,206,1,0.486590038,127,0.37,111,1,0.252873563,66,0.39,117,1,0.590038314,154,0.25,75,1,0.168582375,44,0.27,81,1,0.367816092,96,0.543333333,163,1,0.482758621,126,0.643333333,193,0,0,0,0,0,0,0,0,0,0,1,0.659003831,172,0.603333333,181,0,0,0,0,0,1,0.720306513,188,0.41,123,0,0,0,0,0,1,0.655172414,171,0.703333333,211,0,0,0,0,0,1,0.731800766,191,0.503333333,151,0,0,0,0,0,1,0.666666667,174,0.776666667,233,1,0.37164751,97,0.686666667,206,1,0.731800766,191,0.55,165,0,0,0,0,0,300,261
391,391.jpeg,1,0.003333333,1,0.060377358,16,0.926666667,278,0.883018868,234,1,0.826666667,248,0.177358491,47,1,0.753333333,226,0.181132075,48,1,0.883333333,265,0.094339623,25,1,0.683333333,205,0.116981132,31,1,0.8,240,0.230188679,61,1,0.766666667,230,0.422641509,112,1,0.16,48,0.441509434,117,0,0,0,0,0,1,0.596666667,179,0.490566038,130,0,0,0,0,0,0,0,0,0,0,1,0.366666667,110,0.550943396,146,0,0,0,0,0,1,0.696666667,209,0.61509434,163,0,0,0,0,0,1,0.36,108,0.901886792,239,1,0.686666667,206,0.766037736,203,1,0.65,195,0.679245283,180,0,0,0,0,0,1,0.43,129,0.924528302,245,265,300
392,392.jpeg,1,0.043333333,13,0,0,0.9,270,0.991666667,238,1,0.16,48,0.079166667,19,0,0,0,0,0,1,0.193333333,58,0.070833333,17,0,0,0,0,0,1,0.066666667,20,0.154166667,37,1,0.23,69,0.254166667,61,1,0.856666667,257,0.354166667,85,1,0.373333333,112,0.220833333,53,1,0.3,90,0.595833333,143,0,0,0,0,0,1,0.76,228,0.558333333,134,0,0,0,0,0,1,0.296666667,89,0.854166667,205,0,0,0,0,0,1,0.906666667,272,0.779166667,187,1,0.846666667,254,0.7625,183,1,0.27,81,0.945833333,227,1,0.26,78,0.908333333,218,1,0.913333333,274,0.945833333,227,1,0.843333333,253,0.870833333,209,240,300
393,393.jpeg,1,0.004444444,1,0.06,18,0.986666667,222,0.866666667,260,1,0.702222222,158,0.456666667,137,1,0.471111111,106,0.383333333,115,1,0.808888889,182,0.233333333,70,1,0.404444444,91,0.11,33,1,0.595555556,134,0.656666667,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.804444444,181,0.64,192,1,0.248888889,56,0.703333333,211,0,0,0,0,0,0,0,0,0,0,1,0.737777778,166,0.693333333,208,1,0.311111111,70,0.77,231,0,0,0,0,0,0,0,0,0,0,300,225
394,394.jpeg,1,0.283333333,85,0.151111111,34,0.506666667,152,0.826666667,186,1,0.51,153,0.346666667,78,1,0.34,102,0.36,81,1,0.566666667,170,0.235555556,53,1,0.326666667,98,0.253333333,57,1,0.41,123,0.475555556,107,1,0.483333333,145,0.582222222,131,0,0,0,0,0,0,0,0,0,0,1,0.603333333,181,0.64,144,1,0.426666667,128,0.666666667,150,1,0.66,198,0.404444444,91,0,0,0,0,0,1,0.616666667,185,0.751111111,169,1,0.446666667,134,0.76,171,1,0.73,219,0.608888889,137,0,0,0,0,0,1,0.63,189,0.92,207,1,0.43,129,0.902222222,203,1,0.74,222,0.711111111,160,1,0.546666667,164,0.688888889,155,225,300
395,395.jpeg,1,0.083333333,25,0.082677165,21,0.82,246,0.850393701,216,1,0.2,60,0.200787402,51,0,0,0,0,0,1,0.283333333,85,0.153543307,39,0,0,0,0,0,1,0.093333333,28,0.263779528,67,1,0.293333333,88,0.366141732,93,1,0.78,234,0.456692913,116,1,0.446666667,134,0.350393701,89,1,0.37,111,0.673228346,171,0,0,0,0,0,1,0.753333333,226,0.724409449,184,0,0,0,0,0,1,0.336666667,101,0.846456693,215,1,0.406666667,122,0.803149606,204,1,0.863333333,259,0.838582677,213,1,0.87,261,0.732283465,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,300
396,396.jpeg,1,0.076666667,23,0.053333333,16,0.846666667,254,0.933333333,280,1,0.66,198,0.333333333,100,1,0.78,234,0.21,63,1,0.78,234,0.21,63,1,0.34,102,0.21,63,1,0.54,162,0.52,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.683333333,205,0.623333333,187,1,0.276666667,83,0.476666667,143,0,0,0,0,0,0,0,0,0,0,1,0.556666667,167,0.776666667,233,1,0.266666667,80,0.636666667,191,0,0,0,0,0,0,0,0,0,0,1,0.553333333,166,0.886666667,266,1,0.2,60,0.703333333,211,0,0,0,0,0,0,0,0,0,0,300,300
397,397.jpeg,1,0.128888889,29,0.02,6,0.808888889,182,0.98,294,1,0.56,126,0.25,75,1,0.337777778,76,0.24,72,1,0.728888889,164,0.15,45,1,0.2,45,0.143333333,43,1,0.417777778,94,0.393333333,118,1,0.462222222,104,0.526666667,158,0,0,0,0,0,0,0,0,0,0,1,0.786666667,177,0.636666667,191,1,0.24,54,0.646666667,194,1,0.897777778,202,0.67,201,0,0,0,0,0,1,0.648888889,146,0.863333333,259,1,0.364444444,82,0.843333333,253,0,0,0,0,0,0,0,0,0,0,1,0.648888889,146,0.973333333,292,1,0.404444444,91,0.95,285,1,0.768888889,173,0.876666667,263,0,0,0,0,0,300,225
398,398.jpeg,1,0.16967509,47,0.033333333,10,0.685920578,190,0.933333333,280,1,0.476534296,132,0.14,42,1,0.36101083,100,0.15,45,1,0.433212996,120,0.176666667,53,1,0.519855596,144,0.066666667,20,1,0.274368231,76,0.116666667,35,1,0.472924188,131,0.343333333,103,0,0,0,0,0,0,0,0,0,0,1,0.555956679,154,0.43,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.490974729,136,0.606666667,182,0,0,0,0,0,1,0.57400722,159,0.756666667,227,0,0,0,0,0,1,0.487364621,135,0.746666667,224,1,0.375451264,104,0.813333333,244,1,0.483754513,134,0.89,267,0,0,0,0,0,300,277
399,399.jpeg,1,0.243150685,71,0.18,54,0.5,146,0.733333333,220,1,0.633561644,185,0.296666667,89,1,0.534246575,156,0.303333333,91,1,0.592465753,173,0.363333333,109,1,0.681506849,199,0.26,78,1,0.465753425,136,0.276666667,83,1,0.568493151,166,0.47,141,0,0,0,0,0,0,0,0,0,0,1,0.643835616,188,0.556666667,167,1,0.417808219,122,0.563333333,169,0,0,0,0,0,1,0.294520548,86,0.516666667,155,1,0.606164384,177,0.743333333,223,1,0.45890411,134,0.73,219,0,0,0,0,0,1,0.335616438,98,0.69,207,1,0.589041096,172,0.833333333,250,1,0.496575342,145,0.823333333,247,0,0,0,0,0,1,0.315068493,92,0.773333333,232,300,292
400,400.jpeg,1,0.003333333,1,0.053333333,12,0.9,270,0.844444444,190,0,0,0,0,0,1,0.833333333,250,0.124444444,28,0,0,0,0,0,1,0.77,231,0.093333333,21,1,0.893333333,268,0.195555556,44,1,0.76,228,0.275555556,62,1,0.253333333,76,0.297777778,67,1,0.64,192,0.244444444,55,0,0,0,0,0,1,0.69,207,0.542222222,122,1,0.38,114,0.52,117,1,0.3,90,0.524444444,118,1,0.636666667,191,0.751111111,169,1,0.693333333,208,0.76,171,1,0.36,108,0.702222222,158,1,0.25,75,0.697777778,157,0,0,0,0,0,1,0.7,210,0.862222222,194,0,0,0,0,0,0,0,0,0,0,225,300
401,401.jpeg,1,0.05,15,0.027559055,7,0.933333333,280,0.968503937,246,1,0.34,102,0.18503937,47,0,0,0,0,0,1,0.586666667,176,0.165354331,42,0,0,0,0,0,1,0.08,24,0.25984252,66,1,0.406666667,122,0.720472441,183,0,0,0,0,0,1,0.833333333,250,0.688976378,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,300
402,402.jpeg,1,0.144104803,33,0.06,18,0.672489083,154,0.913333333,274,1,0.528384279,121,0.31,93,1,0.611353712,140,0.25,75,1,0.611353712,140,0.25,75,1,0.305676856,70,0.21,63,1,0.419213974,96,0.366666667,110,1,0.43231441,99,0.563333333,169,0,0,0,0,0,0,0,0,0,0,1,0.620087336,142,0.77,231,1,0.270742358,62,0.736666667,221,1,0.711790393,163,0.836666667,251,1,0.454148472,104,0.863333333,259,1,0.576419214,132,0.863333333,259,1,0.266375546,61,0.87,261,1,0.751091703,172,0.923333333,277,1,0.489082969,112,0.916666667,275,1,0.6069869,139,0.936666667,281,1,0.23580786,54,0.94,282,1,0.659388646,151,0.92,276,1,0.436681223,100,0.93,279,300,229
403,403.jpeg,1,0.463333333,139,0.073333333,22,0.48,144,0.853333333,256,1,0.69,207,0.293333333,88,1,0.56,168,0.3,90,1,0.753333333,226,0.226666667,68,1,0.536666667,161,0.226666667,68,1,0.606666667,182,0.393333333,118,1,0.65,195,0.516666667,155,0,0,0,0,0,0,0,0,0,0,1,0.796666667,239,0.723333333,217,1,0.53,159,0.77,231,1,0.823333333,247,0.823333333,247,1,0.666666667,200,0.866666667,260,1,0.743333333,223,0.64,192,1,0.526666667,158,0.663333333,199,1,0.853333333,256,0.74,222,0,0,0,0,0,1,0.706666667,212,0.673333333,202,1,0.556666667,167,0.716666667,215,1,0.88,264,0.79,237,1,0.77,231,0.863333333,259,300,300
404,404.jpeg,1,0.103333333,31,0.02238806,6,0.833333333,250,0.970149254,260,1,0.74,222,0.436567164,117,1,0.513333333,154,0.451492537,121,1,0.82,246,0.212686567,57,1,0.416666667,125,0.205223881,55,1,0.653333333,196,0.690298507,185,0,0,0,0,0,1,0.226666667,68,0.097014925,26,0,0,0,0,0,0,0,0,0,0,1,0.36,108,0.660447761,177,0,0,0,0,0,1,0.16,48,0.305970149,82,1,0.62,186,0.77238806,207,1,0.34,102,0.839552239,225,0,0,0,0,0,1,0.17,51,0.5,134,1,0.61,183,0.854477612,229,1,0.32,96,0.914179104,245,1,0.32,96,0.914179104,245,1,0.17,51,0.645522388,173,268,300
405,405.jpeg,1,0.343333333,103,0,0,0.586666667,176,0.902439024,259,1,0.66,198,0.24738676,71,1,0.543333333,163,0.282229965,81,1,0.733333333,220,0.045296167,13,1,0.463333333,139,0.128919861,37,1,0.59,177,0.331010453,95,1,0.676666667,203,0.487804878,140,0,0,0,0,0,0,0,0,0,0,1,0.8,240,0.620209059,178,1,0.566666667,170,0.672473868,193,0,0,0,0,0,0,0,0,0,0,1,0.806666667,242,0.682926829,196,1,0.616666667,185,0.797909408,229,0,0,0,0,0,0,0,0,0,0,1,0.886666667,266,0.679442509,195,1,0.64,192,0.87456446,251,0,0,0,0,0,0,0,0,0,0,287,300
406,406.jpeg,1,0.043333333,13,0.046666667,14,0.766666667,230,0.926666667,278,0,0,0,0,0,1,0.64,192,0.106666667,32,1,0.523333333,157,0.116666667,35,1,0.506666667,152,0.226666667,68,1,0.7,210,0.08,24,1,0.663333333,199,0.39,117,1,0.056666667,17,0.64,192,1,0.44,132,0.323333333,97,0,0,0,0,0,1,0.533333333,160,0.65,195,0,0,0,0,0,0,0,0,0,0,1,0.606666667,182,0.75,225,1,0.523333333,157,0.836666667,251,0,0,0,0,0,1,0.133333333,40,0.813333333,244,1,0.64,192,0.83,249,1,0.553333333,166,0.916666667,275,1,0.326666667,98,0.75,225,1,0.236666667,71,0.85,255,300,300
407,407.jpeg,1,0.004444444,1,0.113333333,34,0.924444444,208,0.886666667,266,1,0.604444444,136,0.373333333,112,1,0.364444444,82,0.363333333,109,1,0.764444444,172,0.243333333,73,1,0.226666667,51,0.223333333,67,1,0.466666667,105,0.516666667,155,1,0.431111111,97,0.71,213,0,0,0,0,0,0,0,0,0,0,1,0.724444444,163,0.666666667,200,1,0.168888889,38,0.7,210,0,0,0,0,0,0,0,0,0,0,1,0.728888889,164,0.843333333,253,1,0.142222222,32,0.863333333,259,0,0,0,0,0,0,0,0,0,0,1,0.751111111,169,0.896666667,269,1,0.16,36,0.936666667,281,0,0,0,0,0,0,0,0,0,0,300,225
408,408.jpeg,1,0.403333333,121,0.177777778,32,0.58,174,0.811111111,146,1,0.683333333,205,0.277777778,50,1,0.563333333,169,0.266666667,48,1,0.76,228,0.3,54,1,0.54,162,0.283333333,51,1,0.573333333,172,0.35,63,1,0.653333333,196,0.705555556,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.933333333,280,0.65,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.953333333,286,0.822222222,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.953333333,286,0.972222222,175,0,0,0,0,0,180,300
409,409.jpeg,1,0.07,21,0.01754386,4,0.686666667,206,0.973684211,222,1,0.566666667,170,0.416666667,95,1,0.393333333,118,0.504385965,115,1,0.6,180,0.214912281,49,1,0.243333333,73,0.416666667,95,1,0.546666667,164,0.631578947,144,1,0.533333333,160,0.934210526,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,300
410,410.jpeg,1,0.104693141,29,0.1,30,0.880866426,244,0.893333333,268,1,0.519855596,144,0.376666667,113,1,0.299638989,83,0.363333333,109,1,0.664259928,184,0.25,75,1,0.245487365,68,0.236666667,71,1,0.357400722,99,0.496666667,149,1,0.440433213,122,0.783333333,235,0,0,0,0,0,0,0,0,0,0,1,0.805054152,223,0.896666667,269,1,0.187725632,52,0.906666667,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,277
411,411.jpeg,1,0,0,0,0,0.536666667,161,0.994350282,176,1,0.45,135,0.395480226,70,1,0.366666667,110,0.412429379,73,1,0.386666667,116,0.248587571,44,1,0.256666667,77,0.299435028,53,1,0.516666667,155,0.638418079,113,1,0.276666667,83,0.847457627,150,1,0.08,24,0.627118644,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,300
412,412.jpeg,1,0.106870229,28,0.033333333,10,0.694656489,182,0.96,288,1,0.702290076,184,0.35,105,1,0.438931298,115,0.363333333,109,1,0.687022901,180,0.216666667,65,1,0.297709924,78,0.256666667,77,1,0.603053435,158,0.39,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.702290076,184,0.903333333,271,1,0.27480916,72,0.89,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,262
413,413.jpeg,1,0.25,75,0.2,40,0.706666667,212,0.76,152,1,0.663333333,199,0.445,89,1,0.493333333,148,0.455,91,1,0.743333333,223,0.33,66,1,0.413333333,124,0.335,67,1,0.576666667,173,0.725,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.833333333,250,0.775,155,1,0.43,129,0.795,159,0,0,0,0,0,0,0,0,0,0,200,300
414,414.jpeg,1,0.09,27,0.08,16,0.54,162,0.91,182,1,0.526666667,158,0.29,58,1,0.343333333,103,0.295,59,1,0.51,153,0.155,31,1,0.243333333,73,0.185,37,1,0.563333333,169,0.49,98,1,0.43,129,0.965,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,300
415,415.jpeg,1,0.036666667,11,0.12,24,0.953333333,286,0.74,148,1,0.26,78,0.275,55,1,0.153333333,46,0.29,58,1,0.31,93,0.22,44,1,0.12,36,0.235,47,1,0.196666667,59,0.44,88,1,0.22,66,0.555,111,1,0.81,243,0.315,63,1,0.406666667,122,0.385,77,1,0.403333333,121,0.755,151,1,0.203333333,61,0.725,145,0,0,0,0,0,0,0,0,0,0,1,0.293333333,88,0.835,167,1,0.186666667,56,0.785,157,0,0,0,0,0,0,0,0,0,0,1,0.22,66,0.84,168,1,0.153333333,46,0.825,165,0,0,0,0,0,0,0,0,0,0,200,300
